Action,Component Name,Parent Object,Type,Included By,Owned By
Remove,FQS_Guided_Gift_Entry,Account,Action,User Selected,
,FQS_Pledge_Payment,Gift Commitment,Action,FQS_GiftCommitment_Record_Page,
,FQS_Refund_Donor_Gift,Account,Action,FQS_Account_Record_Page,
,FQS_Refund_Gift,Gift Transaction,Action,FQS_GiftTransaction_Record_Page,
,FQS_Setup_Commitment,Opportunity,Action,FQS_Opportunity_Record_Page,
,Hierarchy_Metrics,Campaign,Action,FQS_Campaign_Record_Page,
Remove,Moves_Management_65c3e74a_90d4_11f1_9ffa_750d1a89e526,,Action Plan Template,User Selected,
Remove,Stewardship_38e8d861_90da_11f1_b64a_f1bc2df97554,,Action Plan Template,User Selected,
,FQS_CampaignHierarchyBuilder,,Apex Class,FQS_Custom_Fields | FQS_CampaignHierarchyBuilder_Test | FQS_Campaign_Hierarchy_Setup,
Remove,FQS_CampaignHierarchyBuilder_Test,,Apex Class,User Selected,
,FQS_CustomMetadataSaver,,Apex Class,FQS_Custom_Fields | FQS_CustomMetadataSaver_Test | FQS_Setup_Tier_Thresholds | FQS_Setup_Stewardship_Response_Settings,
Remove,FQS_CustomMetadataSaver_Test,,Apex Class,User Selected,
Remove,FQS_Console,,App,User Selected,
,FQS Grant Process,Opportunity,Business Process,Grant,
,FQS_Major_Gift_Process,Opportunity,Business Process,Major Gift,
,GoogleMaps,Account,Button or Link,FQS Account Layout | FQS Person Account Layout,
,GoogleNews,Account,Button or Link,FQS Account Layout | FQS Person Account Layout,
,GoogleSearch,Account,Button or Link,FQS Account Layout | FQS Person Account Layout,
,HooversProfile,Account,Button or Link,FQS Account Layout | FQS Person Account Layout,
,ViewAllCampaignMembers,Campaign,Button or Link,FQS Campaign Layout,
,ViewCampaignInfluenceReport,Campaign,Button or Link,FQS Campaign Layout,
Remove,FQS Gift Acknowledgement,,Classic Email Template,User Selected,
Remove,FQS Gift Acknowledgement (Partial Deduction),,Classic Email Template,User Selected,
Remove,FQS Stewardship Response (Standard),,Classic Email Template,User Selected,
,FQS Templates,,Classic Email Template Folder,FQS Gift Acknowledgement (Partial Deduction) | FQS Gift Acknowledgement | FQS Stewardship Response (Standard),
,FQS_Campaign_Compact_Layout,Campaign,Compact Layout,Fundraising,
,"Amount (Formatted)",Gift Transaction,Custom Field,FQS Gift Acknowledgement (Partial Deduction) | FQS Gift Acknowledgement | FQS_Custom_Fields | FQS Stewardship Response (Standard),
,Annual Donor Tier,Donor Gift Summary,Custom Field,Current Year Givers | FQS_Custom_Fields | Donor Gift Summary.Is Mid Annual Donor | Donor Gift Summary Deluxe | Donor Gift Summary.Is Major Annual Donor | Donor Gift Summary.Is Entry Annual Donor | FQS_Account_Record_Page,
,Annual Donor Tier Name,Donor Gift Summary,Custom Field,Current Year Givers | FQS_Custom_Fields | Donor Gift Summary Deluxe | FQS Major Annual Donors This Year | FQS_DonorGiftSummary_Record_Page | FQS_Account_Record_Page,
,Annual Minimum Amount,FQS Donor Tier,Custom Field,FQS Donor Tier | FQS_CustomMetadataSaver_Test | Donor Gift Summary.Annual Donor Tier Name | Donor Gift Summary.Annual Donor Tier | FQS_Setup_Tier_Thresholds,
,Applicable Models,FQS Campaign Template,Custom Field,FQS Campaign Template | FQS_CampaignHierarchyBuilder_Test | FQS_CampaignHierarchyBuilder | FQS_Campaign_Hierarchy_Setup,
,Auto Stewardship,FQS Donor Tier,Custom Field,FQS Donor Tier | FQS_CustomMetadataSaver_Test | FQS_Setup_Stewardship_Response_Settings | FQS_Stewardship_Response,
Remove,Campaign Category,Campaign,Custom Field,User Selected,
Remove,Channel Segment,Outreach Source Code,Custom Field,User Selected,
,Child Campaign Count,Campaign,Custom Field,FQS_Custom_Fields | Gift Transactions Deluxe | Campaign Deluxe | FQS_Campaign_Child_Count_Update | FQS_Campaign_Child_Count_Delete,
,Create First Outreach Source Code,Campaign,Custom Field,FQS_Custom_Fields | FQS_CampaignHierarchyBuilder | FQS_Campaign_Create_First_OSC,
,Credit Type,FQS Donor Tier,Custom Field,FQS Donor Tier | Donor Gift Summary.Lifetime Donor Tier Name | Donor Gift Summary.Lifetime Donor Tier | Donor Gift Summary.Annual Donor Tier Name | Donor Gift Summary.Annual Donor Tier | FQS_Setup_Tier_Thresholds,
,Date Rule,FQS Campaign Template,Custom Field,FQS Campaign Template | FQS_CampaignHierarchyBuilder,
,Default In Model,FQS Campaign Template,Custom Field,FQS Campaign Template | FQS_CampaignHierarchyBuilder_Test | FQS_CampaignHierarchyBuilder | FQS_Campaign_Hierarchy_Setup,
